sale_date,category,units_sold,daily_revenue
2016-10-06,perfumery,7,1219.3
2016-10-06,pet_shop,2,209.8
2016-10-06,sports_leisure,3,153.70000000000002
2016-10-06,telephony,1,29.9
2016-10-06,toys,3,240.88
2016-10-06,watches_gifts,2,1282.17
2016-10-07,audio,1,132.0
2016-10-07,auto,2,101.49000000000001
2016-10-07,baby,3,227.70000000000002
2016-10-07,computers_accessories,2,180.45000000000002
2016-10-07,cool_stuff,3,660.4
2016-10-07,fixed_telephony,1,269.9
2016-10-07,furniture_decor,6,635.13
2016-10-07,garden_tools,1,590.0
2016-10-07,health_beauty,5,467.66
2016-10-07,housewares,3,329.70000000000005
2016-10-07,industry_commerce_and_business,1,89.9
2016-10-07,market_place,1,58.0
2016-10-07,office_furniture,1,129.97
2016-10-07,perfumery,6,857.3999999999999
2016-10-07,pet_shop,1,379.98
2016-10-07,sports_leisure,1,138.0
2016-10-07,telephony,1,18.9
2016-10-07,toys,5,808.77
2016-10-08,baby,2,333.89
2016-10-08,computers_accessories,3,198.79000000000002
2016-10-08,consoles_games,1,949.99
2016-10-08,diapers_and_hygiene,1,134.9
2016-10-08,fashion_bags_accessories,1,49.9
2016-10-08,furniture_decor,13,1290.07
2016-10-08,garden_tools,1,69.99
2016-10-08,health_beauty,6,1019.6899999999999
2016-10-08,housewares,2,189.89000000000001
2016-10-08,industry_commerce_and_business,2,179.8
2016-10-08,office_furniture,1,689.99
2016-10-08,perfumery,4,999.5999999999999
2016-10-08,sports_leisure,2,71.49000000000001
2016-10-08,watches_gifts,1,1399.0
2016-10-09,bed_bath_table,4,89.39
2016-10-09,computers_accessories,1,35.0
2016-10-09,fashion_bags_accessories,1,79.9
2016-10-09,furniture_decor,8,619.8799999999999
2016-10-09,garden_tools,1,380.0
2016-10-09,health_beauty,4,255.89000000000001
2016-10-09,housewares,1,44.99
2016-10-09,office_furniture,1,129.97
2016-10-09,perfumery,1,11.9
2016-10-09,sports_leisure,2,102.8
2016-10-09,toys,2,649.98
2016-10-10,audio,1,24.99
2016-10-10,auto,1,161.99
2016-10-10,computers_accessories,1,19.0
2016-10-10,consoles_games,2,107.0
2016-10-10,fashion_bags_accessories,2,79.8
2016-10-10,fixed_telephony,1,6.0
2016-10-10,food,1,79.9
2016-10-10,furniture_decor,9,1208.26
2016-10-10,health_beauty,6,462.4
2016-10-10,housewares,1,32.99
2016-10-10,market_place,2,163.99
2016-10-10,office_furniture,1,176.97
2016-10-10,perfumery,1,16.9
2016-10-10,pet_shop,1,99.9
2016-10-10,sports_leisure,3,139.88
2016-10-10,telephony,2,49.8
2016-10-10,toys,2,329.79999999999995
2016-12-23,fashion_bags_accessories,1,10.9
2017-01-05,auto,2,21.8
2017-01-05,baby,2,21.8
2017-01-05,fashion_bags_accessories,9,98.10000000000002
2017-01-05,furniture_bedroom,8,73.2
2017-01-05,garden_tools,1,65.0
2017-01-05,music,2,19.8
2017-01-05,pet_shop,5,42.5
2017-01-05,stationery,1,10.9
2017-01-05,toys,2,43.8
2017-01-06,consoles_games,1,109.9
2017-01-06,fixed_telephony,1,10.49
2017-01-06,health_beauty,1,636.0
2017-01-06,toys,1,159.99
2017-01-07,cool_stuff,2,798.0
2017-01-07,furniture_decor,1,34.9
2017-01-07,health_beauty,1,370.0
2017-01-07,watches_gifts,1,149.0
2017-01-08,bed_bath_table,1,68.9
2017-01-08,fashion_bags_accessories,1,129.99
2017-01-08,fixed_telephony,1,10.99
2017-01-08,garden_tools,1,239.9
2017-01-09,cool_stuff,1,349.99
2017-01-09,furniture_decor,2,77.0
2017-01-09,health_beauty,1,109.9
2017-01-09,pet_shop,1,7.9
2017-01-09,sports_leisure,1,129.0
2017-01-10,bed_bath_table,2,114.80000000000001
2017-01-10,cool_stuff,1,176.0
2017-01-10,furniture_decor,1,64.9
2017-01-10,garden_tools,1,380.0
2017-01-10,watches_gifts,1,699.17
2017-01-11,baby,1,119.9
2017-01-11,fixed_telephony,1,10.99
2017-01-11,furniture_decor,1,17.5
2017-01-11,garden_tools,3,1140.0
2017-01-11,small_appliances,1,97.99
2017-01-11,sports_leisure,1,209.9
2017-01-11,toys,1,129.99
2017-01-11,watches_gifts,1,129.0
2017-01-12,baby,1,59.9
2017-01-12,computers_accessories,4,402.90000000000003
2017-01-12,fashion_bags_accessories,1,33.9
2017-01-12,furniture_decor,5,574.5
2017-01-12,housewares,1,19.9
2017-01-12,small_appliances,1,377.0
2017-01-12,telephony,1,10.49
2017-01-13,bed_bath_table,1,69.9
2017-01-13,furniture_decor,2,159.8
2017-01-13,garden_tools,3,1140.0
2017-01-13,health_beauty,1,189.99
2017-01-13,housewares,1,498.99
2017-01-13,sports_leisure,1,113.0
2017-01-13,watches_gifts,1,279.0
2017-01-14,consoles_games,1,109.9
2017-01-14,fixed_telephony,3,80.78999999999999
2017-01-14,furniture_decor,9,498.4
2017-01-14,sports_leisure,3,187.8
2017-01-15,bed_bath_table,1,48.9
2017-01-15,cool_stuff,1,38.9
2017-01-15,fashion_bags_accessories,1,89.99
2017-01-15,furniture_decor,11,547.1
2017-01-15,garden_tools,2,760.0
2017-01-15,health_beauty,1,349.9
2017-01-15,sports_leisure,1,183.9
2017-01-15,telephony,2,20.98
2017-01-15,toys,1,159.9
2017-01-16,auto,3,970.39
2017-01-16,cool_stuff,1,629.0
2017-01-16,electronics,1,39.0
2017-01-16,fashion_bags_accessories,3,114.69999999999999
2017-01-16,fixed_telephony,4,238.98000000000002
2017-01-16,furniture_decor,5,445.5
2017-01-16,health_beauty,3,719.98
2017-01-16,pet_shop,1,74.5
2017-01-16,sports_leisure,1,28.0
2017-01-16,telephony,1,14.97
2017-01-17,auto,1,109.2
2017-01-17,baby,1,134.17
2017-01-17,bed_bath_table,1,48.9
2017-01-17,cool_stuff,1,66.9
2017-01-17,electronics,4,155.7
2017-01-17,fashion_bags_accessories,1,169.9
2017-01-17,fixed_telephony,2,21.98
2017-01-17,furniture_decor,7,598.9999999999999
2017-01-17,garden_tools,1,157.0
2017-01-17,health_beauty,1,349.9
2017-01-17,perfumery,3,93.7
2017-01-17,small_appliances,1,37.9
2017-01-17,sports_leisure,6,384.5
2017-01-17,toys,5,425.78
2017-01-17,watches_gifts,1,379.0
2017-01-18,auto,1,117.3
2017-01-18,baby,4,282.88
2017-01-18,bed_bath_table,1,68.9
2017-01-18,computers_accessories,3,240.70000000000002
2017-01-18,electronics,1,60.0
2017-01-18,fixed_telephony,1,10.99
2017-01-18,furniture_decor,7,292.39000000000004
2017-01-18,garden_tools,1,33.99
2017-01-18,health_beauty,3,613.89
2017-01-18,home_appliances_2,1,467.0
2017-01-18,housewares,1,173.85
2017-01-18,market_place,1,77.08
2017-01-18,pet_shop,1,70.83
2017-01-18,sports_leisure,2,152.9
2017-01-18,stationery,1,164.9
2017-01-18,toys,2,199.89000000000001
2017-01-18,watches_gifts,1,189.0
2017-01-19,auto,3,152.3
2017-01-19,baby,5,309.99
2017-01-19,bed_bath_table,3,289.3
2017-01-19,computers_accessories,1,84.9
2017-01-19,electronics,1,29.5
2017-01-19,fixed_telephony,1,10.99
2017-01-19,furniture_decor,13,1218.48
2017-01-19,health_beauty,1,145.0
2017-01-19,housewares,2,509.79999999999995
2017-01-19,market_place,1,62.9
2017-01-19,sports_leisure,2,698.99
2017-01-19,telephony,1,6.9
2017-01-19,toys,1,34.9
2017-01-20,auto,2,459.8
2017-01-20,baby,1,19.99
2017-01-20,bed_bath_table,1,124.9
2017-01-20,consoles_games,3,241.99
2017-01-20,cool_stuff,3,735.9
2017-01-20,electronics,1,249.9
2017-01-20,fashion_bags_accessories,1,54.9
2017-01-20,fashion_shoes,1,34.9
2017-01-20,furniture_decor,11,629.18
2017-01-20,garden_tools,1,105.99
2017-01-20,health_beauty,3,549.7
2017-01-20,sports_leisure,6,160.25
2017-01-20,stationery,4,318.44
2017-01-21,auto,1,19.0
2017-01-21,bed_bath_table,3,419.70000000000005
2017-01-21,computers_accessories,1,19.9
2017-01-21,consoles_games,2,279.98
2017-01-21,cool_stuff,1,15.8
2017-01-21,electronics,1,11.5
2017-01-21,fashion_male_clothing,1,126.9
2017-01-21,furniture_decor,16,867.0899999999998
2017-01-21,health_beauty,1,28.9
2017-01-21,sports_leisure,2,126.89000000000001
2017-01-21,stationery,5,398.05
2017-01-22,baby,1,40.0
2017-01-22,bed_bath_table,2,149.4
2017-01-22,consoles_games,1,689.89
2017-01-22,electronics,1,11.5
2017-01-22,fashion_underwear_beach,1,86.25
2017-01-22,fixed_telephony,2,90.0
2017-01-22,furniture_decor,9,657.58
2017-01-22,garden_tools,4,339.69000000000005
2017-01-22,health_beauty,6,1080.58
2017-01-22,housewares,1,14.5
2017-01-22,pet_shop,1,149.0
2017-01-22,sports_leisure,1,113.0
2017-01-22,toys,3,197.88
2017-01-23,agro_industry_and_commerce,2,43.98
2017-01-23,air_conditioning,2,299.8
2017-01-23,auto,1,595.99
2017-01-23,bed_bath_table,2,139.8
2017-01-23,computers_accessories,2,47.89
2017-01-23,consoles_games,1,329.9
2017-01-23,cool_stuff,3,117.0
2017-01-23,fashion_bags_accessories,5,299.59000000000003
2017-01-23,furniture_decor,12,274.08000000000004
2017-01-23,garden_tools,6,1155.95
2017-01-23,health_beauty,7,1206.3899999999999
2017-01-23,housewares,2,347.7
2017-01-23,pet_shop,1,135.9
2017-01-23,sports_leisure,3,1172.3600000000001
2017-01-23,toys,2,132.89000000000001
2017-01-24,auto,5,879.1
2017-01-24,baby,2,186.89000000000001
2017-01-24,bed_bath_table,2,89.9
2017-01-24,computers_accessories,1,99.0
2017-01-24,consoles_games,1,139.99
2017-01-24,cool_stuff,1,164.89
2017-01-24,fashio_female_clothing,1,22.4
2017-01-24,fashion_bags_accessories,1,79.9
2017-01-24,furniture_decor,5,249.76
2017-01-24,garden_tools,3,202.99
2017-01-24,health_beauty,6,855.79
2017-01-24,housewares,3,284.78999999999996
2017-01-24,market_place,1,224.16
2017-01-24,perfumery,1,59.9
2017-01-24,sports_leisure,3,498.9
2017-01-24,toys,6,1116.94
2017-01-25,auto,2,283.79
2017-01-25,bed_bath_table,2,179.8
2017-01-25,computers_accessories,3,67.8
2017-01-25,consoles_games,1,223.9
2017-01-25,cool_stuff,4,1027.8899999999999
2017-01-25,fashio_female_clothing,1,54.9
2017-01-25,fashion_bags_accessories,3,238.8
2017-01-25,fixed_telephony,1,12.97
2017-01-25,furniture_decor,7,732.19
2017-01-25,garden_tools,2,191.89000000000001
2017-01-25,health_beauty,12,666.75
2017-01-25,home_comfort_2,1,59.9
2017-01-25,housewares,2,80.4
2017-01-25,perfumery,5,1153.5
2017-01-25,small_appliances,1,839.0
2017-01-25,sports_leisure,8,265.9
2017-01-25,telephony,2,42.89
2017-01-25,toys,4,613.78
2017-01-26,auto,2,167.98000000000002
2017-01-26,baby,7,300.5
2017-01-26,bed_bath_table,4,292.4
2017-01-26,computers_accessories,1,48.9
2017-01-26,consoles_games,3,1137.69
2017-01-26,cool_stuff,5,695.6899999999999
2017-01-26,fashion_bags_accessories,4,82.7
2017-01-26,fixed_telephony,3,159.97000000000003
2017-01-26,furniture_decor,14,1294.2800000000002
2017-01-26,garden_tools,5,546.97
2017-01-26,health_beauty,9,588.0
2017-01-26,home_appliances_2,1,439.0
2017-01-26,home_comfort_2,1,12.9
2017-01-26,housewares,4,374.15
2017-01-26,kitchen_dining_laundry_garden_furniture,1,110.0
2017-01-26,luggage_accessories,2,142.8
2017-01-26,perfumery,7,1579.3000000000002
2017-01-26,security_and_services,1,183.29
2017-01-26,sports_leisure,14,2968.1000000000004
2017-01-26,stationery,2,369.79999999999995
2017-01-26,telephony,3,39.0
2017-01-26,toys,2,71.65
2017-01-26,watches_gifts,1,1299.0
2017-01-27,air_conditioning,1,174.9
2017-01-27,baby,4,1283.98
2017-01-27,bed_bath_table,2,154.89
2017-01-27,books_general_interest,1,124.99
2017-01-27,computers_accessories,9,2224.75
2017-01-27,consoles_games,3,487.70000000000005
2017-01-27,cool_stuff,6,315.94000000000005
2017-01-27,fashion_bags_accessories,1,24.9
2017-01-27,fixed_telephony,1,6.99
2017-01-27,food,1,15.32
2017-01-27,furniture_decor,9,1039.75
2017-01-27,furniture_living_room,3,407.97
2017-01-27,garden_tools,1,29.99
2017-01-27,health_beauty,5,604.34
2017-01-27,musical_instruments,1,339.74
2017-01-27,office_furniture,3,439.96
2017-01-27,perfumery,4,207.60000000000002
2017-01-27,pet_shop,4,318.49
2017-01-27,sports_leisure,5,368.19
2017-01-27,stationery,1,299.9
2017-01-27,telephony,1,49.0
2017-01-27,toys,4,456.87
2017-01-27,watches_gifts,1,1299.0
2017-01-28,air_conditioning,1,189.0
2017-01-28,auto,2,347.2
2017-01-28,baby,2,704.0
2017-01-28,bed_bath_table,2,118.80000000000001
2017-01-28,cool_stuff,2,1033.8899999999999
2017-01-28,electronics,1,59.9
2017-01-28,furniture_decor,2,449.98
2017-01-28,garden_tools,1,22.79
2017-01-28,health_beauty,2,679.8
2017-01-28,home_appliances_2,1,209.9
2017-01-28,housewares,2,60.0
2017-01-28,office_furniture,1,119.6
2017-01-28,perfumery,1,489.9
2017-01-28,sports_leisure,3,213.5
2017-01-28,telephony,3,160.97
2017-01-28,toys,2,111.97999999999999
2017-01-29,baby,1,1934.0
2017-01-29,bed_bath_table,3,269.79
2017-01-29,computers_accessories,1,26.9
2017-01-29,consoles_games,1,309.9
2017-01-29,fashion_bags_accessories,3,204.70000000000002
2017-01-29,food,1,27.5
2017-01-29,furniture_decor,7,494.79999999999995
2017-01-29,furniture_living_room,1,209.99
2017-01-29,garden_tools,1,110.0
2017-01-29,health_beauty,3,182.8
2017-01-29,housewares,6,252.60000000000002
2017-01-29,luggage_accessories,1,239.9
2017-01-29,perfumery,8,859.1999999999998
2017-01-29,sports_leisure,3,272.3
2017-01-29,toys,2,259.98
2017-01-29,watches_gifts,1,222.4
2017-01-30,auto,4,596.1999999999999
2017-01-30,baby,3,374.89
2017-01-30,bed_bath_table,7,705.89
2017-01-30,computers,1,2199.99
2017-01-30,computers_accessories,4,608.6
2017-01-30,cool_stuff,2,318.99
2017-01-30,fashion_underwear_beach,1,51.0
2017-01-30,furniture_decor,6,833.4
2017-01-30,furniture_living_room,3,311.96999999999997
2017-01-30,garden_tools,17,844.8
2017-01-30,health_beauty,7,1166.49
2017-01-30,home_appliances_2,1,559.0
2017-01-30,housewares,2,166.4
2017-01-30,market_place,1,25.0
2017-01-30,perfumery,2,449.79999999999995
2017-01-30,small_appliances,1,199.0
2017-01-30,sports_leisure,3,332.98
2017-01-30,telephony,5,111.76999999999998
2017-01-30,toys,2,384.98
2017-01-31,agro_industry_and_commerce,1,21.99
2017-01-31,auto,2,99.98
2017-01-31,baby,5,444.99
2017-01-31,bed_bath_table,6,449.49
2017-01-31,books_general_interest,1,109.9
2017-01-31,computers_accessories,1,51.9
2017-01-31,consoles_games,3,453.70000000000005
2017-01-31,cool_stuff,3,372.09000000000003
2017-01-31,dvds_blu_ray,2,29.8
2017-01-31,fashion_bags_accessories,1,49.9
2017-01-31,fixed_telephony,1,10.99
2017-01-31,furniture_decor,15,985.07
2017-01-31,furniture_living_room,3,311.96999999999997
2017-01-31,health_beauty,8,1272.3400000000001
2017-01-31,home_appliances_2,3,241.88
2017-01-31,housewares,1,44.5
2017-01-31,luggage_accessories,2,109.8
2017-01-31,market_place,1,25.0
2017-01-31,office_furniture,4,598.7900000000001
2017-01-31,perfumery,3,219.7
2017-01-31,small_appliances,1,109.9
2017-01-31,sports_leisure,5,631.78
2017-01-31,telephony,3,298.97
2017-01-31,toys,1,66.99
2017-01-31,watches_gifts,2,3441.95
2017-02-01,auto,2,411.0
2017-02-01,baby,1,35.0
2017-02-01,bed_bath_table,4,205.70000000000002
2017-02-01,books_general_interest,1,49.9
2017-02-01,computers_accessories,7,541.54
2017-02-01,cool_stuff,4,1392.8
2017-02-01,fashion_bags_accessories,2,77.9
2017-02-01,fixed_telephony,1,10.99
2017-02-01,food,1,149.9
2017-02-01,furniture_decor,7,875.36
2017-02-01,garden_tools,3,135.9
2017-02-01,health_beauty,7,1359.18
2017-02-01,luggage_accessories,1,129.9
2017-02-01,market_place,1,62.9
2017-02-01,office_furniture,4,384.96000000000004
2017-02-01,perfumery,3,172.70000000000002
2017-02-01,pet_shop,2,162.4
2017-02-01,small_appliances,1,159.99
2017-02-01,sports_leisure,4,529.89
2017-02-01,telephony,2,55.980000000000004
2017-02-01,toys,3,226.88
2017-02-01,watches_gifts,2,298.0
2017-02-02,audio,1,29.9
2017-02-02,auto,1,59.9
2017-02-02,bed_bath_table,1,109.99
2017-02-02,computers_accessories,2,236.8
2017-02-02,consoles_games,4,1211.6
2017-02-02,construction_tools_construction,1,149.9
2017-02-02,cool_stuff,7,1192.27
2017-02-02,fashion_male_clothing,1,38.4
2017-02-02,furniture_decor,9,630.45
2017-02-02,furniture_living_room,3,311.96999999999997
2017-02-02,garden_tools,3,262.9
2017-02-02,health_beauty,9,1215.3799999999999
2017-02-02,luggage_accessories,2,109.8
2017-02-02,office_furniture,1,119.97
2017-02-02,perfumery,3,179.7
2017-02-02,small_appliances,3,249.70000000000002
2017-02-02,sports_leisure,5,669.5999999999999
2017-02-02,stationery,2,389.79999999999995
2017-02-02,tablets_printing_image,2,198.0
2017-02-02,telephony,7,345.67
2017-02-02,toys,2,224.99
2017-02-02,watches_gifts,3,798.9699999999999
2017-02-03,auto,1,379.0
2017-02-03,bed_bath_table,2,179.8
2017-02-03,computers_accessories,1,26.9
2017-02-03,consoles_games,1,398.0
2017-02-03,cool_stuff,2,171.39
2017-02-03,fashion_bags_accessories,3,239.70000000000002
2017-02-03,furniture_decor,9,885.0699999999999
2017-02-03,health_beauty,8,1452.3700000000001
2017-02-03,home_appliances_2,1,15.99
2017-02-03,luggage_accessories,1,109.9
2017-02-03,musical_instruments,1,1297.25
2017-02-03,office_furniture,5,699.9100000000001
2017-02-03,perfumery,5,389.5
2017-02-03,sports_leisure,6,573.87
2017-02-03,stationery,1,94.9
2017-02-03,telephony,2,958.89
2017-02-03,toys,5,1558.7800000000002
2017-02-03,watches_gifts,1,24.9
2017-02-04,auto,3,313.38
2017-02-04,baby,1,79.9
2017-02-04,bed_bath_table,3,309.8
2017-02-04,computers_accessories,3,126.78999999999999
2017-02-04,consoles_games,1,239.9
2017-02-04,cool_stuff,3,339.88
2017-02-04,fashion_bags_accessories,1,199.99
2017-02-04,fashion_underwear_beach,2,49.98
2017-02-04,furniture_decor,8,768.39
2017-02-04,furniture_living_room,2,796.0
2017-02-04,garden_tools,3,449.70000000000005
2017-02-04,health_beauty,13,3129.2500000000005
2017-02-04,home_confort,1,94.76
2017-02-04,housewares,2,86.8
2017-02-04,luggage_accessories,1,54.9
2017-02-04,office_furniture,1,129.99
2017-02-04,perfumery,5,449.5
2017-02-04,pet_shop,3,288.7
2017-02-04,small_appliances,1,163.9
2017-02-04,sports_leisure,5,516.98
2017-02-04,stationery,1,164.9
2017-02-04,telephony,2,208.0
2017-02-04,toys,2,229.89
2017-02-04,watches_gifts,1,239.0
2017-02-05,agro_industry_and_commerce,1,21.99
2017-02-05,auto,3,279.64
2017-02-05,baby,2,100.0
2017-02-05,bed_bath_table,10,1183.8700000000001
2017-02-05,cool_stuff,1,119.99
2017-02-05,fashion_bags_accessories,3,174.7
2017-02-05,fashion_underwear_beach,1,51.0
2017-02-05,fixed_telephony,2,38.89
2017-02-05,furniture_decor,15,1460.69
2017-02-05,garden_tools,2,75.9
2017-02-05,health_beauty,10,1586.46
2017-02-05,luggage_accessories,2,174.9
2017-02-05,musical_instruments,1,290.47
2017-02-05,office_furniture,7,1026.54
2017-02-05,perfumery,1,59.9
2017-02-05,pet_shop,3,178.9
2017-02-05,sports_leisure,7,779.06
2017-02-05,stationery,1,169.9
2017-02-05,telephony,5,325.95000000000005
2017-02-05,watches_gifts,1,24.9
2017-02-06,auto,5,542.29
2017-02-06,bed_bath_table,10,955.29
2017-02-06,computers_accessories,1,30.0
2017-02-06,consoles_games,1,399.99
2017-02-06,cool_stuff,6,1477.76
2017-02-06,dvds_blu_ray,1,14.9
2017-02-06,fashion_bags_accessories,2,44.8
2017-02-06,fixed_telephony,1,29.9
2017-02-06,furniture_decor,8,876.5199999999999
2017-02-06,garden_tools,1,35.0
2017-02-06,health_beauty,14,1190.7400000000002
2017-02-06,housewares,4,386.70000000000005
2017-02-06,market_place,1,25.99
2017-02-06,perfumery,2,609.8
2017-02-06,pet_shop,1,109.99
2017-02-06,small_appliances,2,113.99
2017-02-06,sports_leisure,9,693.58
2017-02-06,telephony,7,544.94
2017-02-06,toys,3,313.78999999999996
2017-02-06,watches_gifts,1,239.0
2017-02-07,auto,7,712.3
2017-02-07,baby,3,279.89
2017-02-07,bed_bath_table,8,597.09
2017-02-07,computers_accessories,6,873.29
2017-02-07,cool_stuff,4,492.67999999999995
2017-02-07,costruction_tools_garden,2,579.98
2017-02-07,electronics,2,106.95
2017-02-07,fashion_bags_accessories,7,232.49
2017-02-07,fashion_male_clothing,1,64.9
2017-02-07,fashion_underwear_beach,1,52.0
2017-02-07,food,1,15.32
2017-02-07,furniture_decor,13,1060.49
2017-02-07,furniture_living_room,3,311.96999999999997
2017-02-07,garden_tools,1,389.0
2017-02-07,health_beauty,8,394.98999999999995
2017-02-07,luggage_accessories,2,174.8
2017-02-07,market_place,1,25.9
2017-02-07,musical_instruments,1,24.9
2017-02-07,office_furniture,4,496.90999999999997
2017-02-07,perfumery,3,438.69999999999993
2017-02-07,pet_shop,1,45.0
2017-02-07,small_appliances,1,635.9
2017-02-07,sports_leisure,18,1733.15
2017-02-07,stationery,2,229.8
2017-02-07,tablets_printing_image,1,99.0
2017-02-07,telephony,9,1163.8200000000002
2017-02-07,toys,2,194.94
2017-02-07,watches_gifts,3,1866.04
2017-02-08,agro_industry_and_commerce,1,21.99
2017-02-08,auto,5,1245.2
2017-02-08,baby,3,207.8
2017-02-08,bed_bath_table,7,384.9200000000001
2017-02-08,books_general_interest,2,219.31
2017-02-08,computers_accessories,3,305.79999999999995
2017-02-08,cool_stuff,1,239.99
2017-02-08,electronics,1,39.9
2017-02-08,fixed_telephony,1,10.99
2017-02-08,food,1,149.9
2017-02-08,furniture_decor,9,847.2399999999999
2017-02-08,furniture_living_room,1,398.0
2017-02-08,garden_tools,1,449.9
2017-02-08,health_beauty,8,857.13
2017-02-08,housewares,3,381.78999999999996
2017-02-08,luggage_accessories,4,370.6
2017-02-08,market_place,2,19.990000000000002
2017-02-08,office_furniture,7,1016.7800000000002
2017-02-08,perfumery,2,659.8
2017-02-08,pet_shop,2,73.99
2017-02-08,small_appliances,4,425.73
2017-02-08,sports_leisure,11,813.1999999999999
2017-02-08,stationery,3,553.51
2017-02-08,telephony,2,29.78
2017-02-08,toys,3,199.85
2017-02-08,watches_gifts,1,1323.0
2017-02-09,auto,7,1500.68
2017-02-09,baby,1,23.9
2017-02-09,bed_bath_table,6,845.5999999999999
2017-02-09,books_general_interest,1,109.9
2017-02-09,computers_accessories,4,334.9
2017-02-09,cool_stuff,4,510.42999999999995
2017-02-09,fashion_bags_accessories,2,199.98000000000002
2017-02-09,fashion_underwear_beach,1,24.99
2017-02-09,furniture_decor,8,800.44
2017-02-09,garden_tools,2,236.99
2017-02-09,health_beauty,4,386.69
2017-02-09,home_construction,1,186.9
2017-02-09,housewares,7,321.2
2017-02-09,office_furniture,7,1583.87
2017-02-09,perfumery,2,619.8
2017-02-09,pet_shop,2,109.4
2017-02-09,small_appliances,2,308.99
2017-02-09,sports_leisure,5,344.98
2017-02-09,stationery,1,89.9
2017-02-09,telephony,6,170.78000000000003
2017-02-09,toys,2,88.3
2017-02-10,air_conditioning,1,109.0
2017-02-10,auto,8,969.8299999999999
2017-02-10,baby,1,175.9
2017-02-10,bed_bath_table,5,666.59
2017-02-10,computers_accessories,6,4091.7799999999997
2017-02-10,consoles_games,1,314.8
2017-02-10,cool_stuff,2,504.99
2017-02-10,fashio_female_clothing,1,119.0
2017-02-10,fashion_male_clothing,1,59.9
2017-02-10,furniture_decor,6,180.4
2017-02-10,garden_tools,3,880.89
2017-02-10,health_beauty,5,849.79
2017-02-10,housewares,2,64.8
2017-02-10,market_place,1,76.9
2017-02-10,office_furniture,7,969.11
2017-02-10,perfumery,1,379.9
2017-02-10,pet_shop,1,59.9
2017-02-10,small_appliances,1,25.0
2017-02-10,sports_leisure,5,299.49
2017-02-10,stationery,1,30.9
2017-02-10,tablets_printing_image,1,99.0
2017-02-10,telephony,3,276.96000000000004
2017-02-10,toys,4,436.78000000000003
2017-02-10,watches_gifts,2,1450.93
2017-02-11,baby,1,50.0
2017-02-11,bed_bath_table,3,103.1
2017-02-11,computers_accessories,4,110.6
2017-02-11,fashion_bags_accessories,1,49.9
2017-02-11,fashion_underwear_beach,2,146.0
2017-02-11,furniture_decor,9,788.9899999999999
2017-02-11,health_beauty,3,218.79000000000002
2017-02-11,housewares,6,331.4
2017-02-11,market_place,1,29.9
2017-02-11,office_furniture,3,996.55
2017-02-11,perfumery,1,9.9
2017-02-11,pet_shop,1,58.55
2017-02-11,small_appliances,1,163.9
2017-02-11,sports_leisure,6,487.68
2017-02-11,stationery,1,89.9
2017-02-11,telephony,3,273.86
2017-02-11,toys,4,272.69
2017-02-12,agro_industry_and_commerce,1,92.9
2017-02-12,auto,1,9.99
2017-02-12,baby,1,50.0
2017-02-12,bed_bath_table,6,664.0999999999999
2017-02-12,computers_accessories,2,119.9
2017-02-12,consoles_games,1,46.0
2017-02-12,construction_tools_construction,1,149.9
2017-02-12,cool_stuff,1,385.0
